comment_id,comment,author,like_count,time_text,reply,clean_comment,like_count_numeric,word_count,character_count,comment_type,sentiment
UgwbRErOfgrOYPQkEnN4AaABAg,But the politicians taking bribes from the oil companies are saying this is all wrong and fake news,@Greenpoloboy3,372,2 bulan lalu,False,But the politicians taking bribes from the oil companies are saying this is all wrong and fake news,372,18,99,Top-level,Negative
UgykIBLMKSM4Q8-y3t94AaABAg,"To summarise: it will be dryer and wetter, but and also hotter and cooler",@Gavin-n4j7m,310,2 bulan lalu,False,"To summarise: it will be dryer and wetter, but and also hotter and cooler",310,14,73,Top-level,Neutral
Ugwiv6GkMXrPZSdOf-N4AaABAg,"I can’t believe people are talking about this like it’s “normal”, it’s not “normal”.",@PolarioBear,11,1 bulan lalu,False,"I can’t believe people are talking about this like it’s “normal”, it’s not “normal”.",11,14,84,Top-level,Neutral
UgyeFaJeuXX9Aw6E3lx4AaABAg,Here in Houston Texas it’s been crazy it really hasn’t been that hot.,@velorza71,7,2 bulan lalu,False,Here in Houston Texas it’s been crazy it really hasn’t been that hot.,7,13,69,Top-level,Neutral
UgyuFaZ5p2ZwApX45AR4AaABAg,"For us here in Japan as well as neighbouring countries, a warmer sea is not good news at all. This is going to potentially be the catalyst for more typhoons and the warmer the sea, the stronger they are. We also likely to see even higher summer temperatures than last year, which were already record breaking and many places hitting the lower 40s (degrees celsius).",@andrewjones-productions,248,2 bulan lalu,False,"For us here in Japan as well as neighbouring countries, a warmer sea is not good news at all. This is going to potentially be the catalyst for more typhoons and the warmer the sea, the stronger they are. We also likely to see even higher summer temperatures than last year, which were already record breaking and many places hitting the lower 40s (degrees celsius).",248,65,365,Top-level,Positive
Ugyogw1SVLJw0A7kIQt4AaABAg,Here on the pacific coast of North Mexico the heat is really quite extreme for this time of years.  Last year lost all 8 of my shade trees in the summer storms,@sararichardson737,99,2 bulan lalu,False,Here on the pacific coast of North Mexico the heat is really quite extreme for this time of years. Last year lost all 8 of my shade trees in the summer storms,99,32,158,Top-level,Neutral
Ugw2GlbOAGp3n4CRFi14AaABAg,It's already super hot 🥵 in the Philippines  we will be affected in ElNiño soon,@dwellerdelariva2206,159,2 bulan lalu (diedit),False,It's already super hot 🥵 in the Philippines we will be affected in ElNiño soon,159,15,78,Top-level,Positive
UgxMiwLt7XcKSd-LD954AaABAg,Its already here ...Huntsville Alabama has experienced turbulent weather patterns ever since I relocated there during covid...,@kimmberrleeohthatsme5493,3,2 bulan lalu,False,Its already here ...Huntsville Alabama has experienced turbulent weather patterns ever since I relocated there during covid...,3,17,126,Top-level,Positive
UgzSVALI6hxZJMJ5Qpx4AaABAg,There is only one Fernando Torres 👏👍🏻,@BigBadMogz,65,2 bulan lalu,False,There is only one Fernando Torres 👏👍🏻,65,7,37,Top-level,Neutral
Ugy1UF-xl8nO0c6-K_R4AaABAg.AWqQxGgPlO9AWvJ477k_Aj,"Ive always said that if you look at the planet earth like a living organism and did a timelapse of its history, human life just looks like a virus making it sick.",@SpicyRikers,48,2 bulan lalu,True,"Ive always said that if you look at the planet earth like a living organism and did a timelapse of its history, human life just looks like a virus making it sick.",48,32,162,Reply,Negative
Ugy1UF-xl8nO0c6-K_R4AaABAg.AWqQxGgPlO9AXBlOZu1U6s,​ @SpicyRikers I was just saying the same a couple of days ago. We are actually a virus on this planet,@soulatma,6,2 bulan lalu,True,​ @SpicyRikers I was just saying the same a couple of days ago. We are actually a virus on this planet,6,21,102,Reply,Neutral
Ugy1UF-xl8nO0c6-K_R4AaABAg.AWqQxGgPlO9AXBGRTk1Sz4, @SpicyRikers 😂😂😂,@sf49erswarriorsgiantsgumba99,1,2 bulan lalu,True,@SpicyRikers 😂😂😂,1,2,16,Reply,Neutral
Ugy1UF-xl8nO0c6-K_R4AaABAg.AWqQxGgPlO9AXTkHUdCPNu,​ @SpicyRikers good thing it's not a living organism..,@JPQ-y7d,0,2 bulan lalu,True,​ @SpicyRikers good thing it's not a living organism..,0,9,54,Reply,Positive
Ugy1UF-xl8nO0c6-K_R4AaABAg.AWqQxGgPlO9AWujGvwOP5i,"That's right, earth will continue to be here long after humans are gone, we won't be here that long anyways",@eddscall,23,2 bulan lalu (diedit),True,"That's right, earth will continue to be here long after humans are gone, we won't be here that long anyways",23,20,107,Reply,Positive
Ugy1UF-xl8nO0c6-K_R4AaABAg.AWqQxGgPlO9AXfTextJfYw," @eddscall  ah so that is the reason ""earth allowed"" of human evolve :) that must be it...",@darklca,0,2 bulan lalu,True,"@eddscall ah so that is the reason ""earth allowed"" of human evolve :) that must be it...",0,17,88,Reply,Positive
Ugy1UF-xl8nO0c6-K_R4AaABAg.AWqQxGgPlO9AWyHOAzDD5X,"We need to stop wars, thry are affecting our planet too.",@zadaHabib1234,5,2 bulan lalu,True,"We need to stop wars, thry are affecting our planet too.",5,11,56,Reply,Neutral
Ugy1UF-xl8nO0c6-K_R4AaABAg.AWqQxGgPlO9AWyI9BYfDl1,"​ @zadaHabib1234 
Could be. 😊",@benfranklin3963,0,2 bulan lalu,True,​ @zadaHabib1234 Could be. 😊,0,5,28,Reply,Neutral
Ugy1UF-xl8nO0c6-K_R4AaABAg.AWqQxGgPlO9AWu_o_a7SeI,We didn't cause this.,@WillanKhatter-l2m2b,2,2 bulan lalu,True,We didn't cause this.,2,4,21,Reply,Neutral
Ugy1UF-xl8nO0c6-K_R4AaABAg.AWqQxGgPlO9AWwz-0F8jOz," @WillanKhatter-l2m2b   in fact, you do.",@whatonearth-q1x,1,2 bulan lalu,True,"@WillanKhatter-l2m2b in fact, you do.",1,5,37,Reply,Neutral
Ugy1UF-xl8nO0c6-K_R4AaABAg.AWqQxGgPlO9AWxzApXfo-K,this isn't deep😂😂,@alele-k1i,2,2 bulan lalu,True,this isn't deep😂😂,2,3,17,Reply,Neutral
Ugy1UF-xl8nO0c6-K_R4AaABAg.AWqQxGgPlO9AWzpSpcdugx,"Who is destroying come on, thats not the reason of el nino plz",@Calmbeautyyy-c4p,1,2 bulan lalu,True,"Who is destroying come on, thats not the reason of el nino plz",1,13,62,Reply,Negative
Ugy1UF-xl8nO0c6-K_R4AaABAg.AWqQxGgPlO9AX0hY_Cp2FA,"OK, bambi.",@tianlong23,1,2 bulan lalu,True,"OK, bambi.",1,2,10,Reply,Positive
Ugy1UF-xl8nO0c6-K_R4AaABAg.AWqQxGgPlO9AX27_crknX8,"She is having some fever, that's all. Based on her age, it is a mild symptom. It wont take a lifetime 😊 Good day to you ❤",@pzan49,1,2 bulan lalu,True,"She is having some fever, that's all. Based on her age, it is a mild symptom. It wont take a lifetime 😊 Good day to you ❤",1,27,121,Reply,Positive
Ugy1UF-xl8nO0c6-K_R4AaABAg.AWqQxGgPlO9AXBngIUFvH8,Everyone forgets about the fallen angels living here with us.,@QueenBNatural87,1,2 bulan lalu,True,Everyone forgets about the fallen angels living here with us.,1,10,61,Reply,Neutral
Ugy1UF-xl8nO0c6-K_R4AaABAg.AWqQxGgPlO9AXEeZkO0UkB,Nature does NOT need humans 😑but humans need nature 😈,@jettthebluedragon,1,2 bulan lalu,True,Nature does NOT need humans 😑but humans need nature 😈,1,10,53,Reply,Neutral
Ugy1UF-xl8nO0c6-K_R4AaABAg.AWqQxGgPlO9A_4_EFVogyW,"All things that are happening is cos of our sins , mother earth my arse",@ALLUK633,1,5 hari lalu,True,"All things that are happening is cos of our sins , mother earth my arse",1,15,71,Reply,Neutral
Ugy1UF-xl8nO0c6-K_R4AaABAg.AWqQxGgPlO9AWrjWzgegmu,"The planet, and all other animals, would be far better off without us, that's for sure!",@iraceruk,18,2 bulan lalu,True,"The planet, and all other animals, would be far better off without us, that's for sure!",18,16,87,Reply,Positive
Ugy1UF-xl8nO0c6-K_R4AaABAg.AWqQxGgPlO9AWsOh1gJS2N,​ @iraceruk been saying this for years👏👏👏,@jayjmoi6744,2,2 bulan lalu,True,​ @iraceruk been saying this for years👏👏👏,2,7,41,Reply,Neutral
Ugy1UF-xl8nO0c6-K_R4AaABAg.AWqQxGgPlO9AWsLuSGqxl9," @iraceruk  actually, it is said that one day when ai has access to a quantumn computer, it will be able to figure out zero point energy [ free energy ] and we will live in a type 3 civilisation [ a star trek utopia ] have faith..",@Jah_Babylon,0,2 bulan lalu,True,"@iraceruk actually, it is said that one day when ai has access to a quantumn computer, it will be able to figure out zero point energy [ free energy ] and we will live in a type 3 civilisation [ a star trek utopia ] have faith..",0,47,228,Reply,Positive
Ugy1UF-xl8nO0c6-K_R4AaABAg.AWqQxGgPlO9AWtU_onm1v7,Yes😂,@raidraven_1,0,2 bulan lalu,True,Yes😂,0,1,4,Reply,Neutral
Ugy1UF-xl8nO0c6-K_R4AaABAg.AWqQxGgPlO9AWtiHxEKErw,Let me pay my ac bill haha,@anthony_supreme,0,2 bulan lalu,True,Let me pay my ac bill haha,0,7,26,Reply,Positive
Ugy1UF-xl8nO0c6-K_R4AaABAg.AWqQxGgPlO9AWuKLA2nZkZ,"yeah yeah yeah . . . 

We are her. We come from nature and are a different version of her when she becomes fully aware and hyper conscious.

I don't she wants us to go because we don't want to go, at least most of us",@JoannaCoffee,0,2 bulan lalu,True,"yeah yeah yeah . . . We are her. We come from nature and are a different version of her when she becomes fully aware and hyper conscious. I don't she wants us to go because we don't want to go, at least most of us",0,46,213,Reply,Positive
Ugy1UF-xl8nO0c6-K_R4AaABAg.AWqQxGgPlO9AYmkVNC3gvg," @JoannaCoffee  ok that means that plants wre the same as us cus we come from plants, we have been here for maybe 60,000 years earth has existed for billions. Humans are not going to live for a million years, we will prob die in maybe 3000 years, we have not taken up that much time from earth, and in the time we were here we made earth hell. Considered to species that maybe will exist after us we are nkt special",@2manswhen,0,1 bulan lalu,True,"@JoannaCoffee ok that means that plants wre the same as us cus we come from plants, we have been here for maybe 60,000 years earth has existed for billions. Humans are not going to live for a million years, we will prob die in maybe 3000 years, we have not taken up that much time from earth, and in the time we were here we made earth hell. Considered to species that maybe will exist after us we are nkt special",0,81,413,Reply,Positive
Ugy1UF-xl8nO0c6-K_R4AaABAg.AWqQxGgPlO9AWunwxTcBWz,It did and thrived 😅,@allenjaygaming3675,0,2 bulan lalu,True,It did and thrived 😅,0,5,20,Reply,Neutral
Ugy1UF-xl8nO0c6-K_R4AaABAg.AWqQxGgPlO9AWvpWRGd8pc,And it will die eventually regardless of what we do to it along with everything on it,@XOC-UNDXAD,0,2 bulan lalu,True,And it will die eventually regardless of what we do to it along with everything on it,0,17,85,Reply,Neutral
Ugy1UF-xl8nO0c6-K_R4AaABAg.AWqQxGgPlO9AWvyoNqba9h,😅,@heidis605,0,2 bulan lalu,True,😅,0,1,1,Reply,Neutral
Ugy1UF-xl8nO0c6-K_R4AaABAg.AWqQxGgPlO9AWw41Dp_y41,Much better without.,@jamesanderson5268,0,2 bulan lalu,True,Much better without.,0,3,20,Reply,Positive
Ugy1UF-xl8nO0c6-K_R4AaABAg.AWqQxGgPlO9AWwQdkKN-AM,FACT,@keyblade5916,0,2 bulan lalu,True,FACT,0,1,4,Reply,Neutral
Ugy1UF-xl8nO0c6-K_R4AaABAg.AWqQxGgPlO9AWwerV2nU-i,"As can the universe without earth, our sun system or even the 100 billion sun systems within the milky way. What is your point? We are as irrelevant as earth in that regard",@soghotze,0,2 bulan lalu,True,"As can the universe without earth, our sun system or even the 100 billion sun systems within the milky way. What is your point? We are as irrelevant as earth in that regard",0,33,172,Reply,Negative
Ugy1UF-xl8nO0c6-K_R4AaABAg.AWqQxGgPlO9AWxEui0j-cY,💯,@benji1775,0,2 bulan lalu,True,💯,0,1,1,Reply,Neutral
Ugy1UF-xl8nO0c6-K_R4AaABAg.AWqQxGgPlO9AX0jwSJHXY9,Well said,@flight8594,0,2 bulan lalu,True,Well said,0,2,9,Reply,Neutral
Ugy1UF-xl8nO0c6-K_R4AaABAg.AWqQxGgPlO9AX1n5ysMfjk,Damn right about that.,@clancybenedict6647,0,2 bulan lalu,True,Damn right about that.,0,4,22,Reply,Positive
Ugy1UF-xl8nO0c6-K_R4AaABAg.AWqQxGgPlO9AX56TeXfAnC,Team Mother Earth.,@hill3016,0,2 bulan lalu,True,Team Mother Earth.,0,3,18,Reply,Neutral
Ugy1UF-xl8nO0c6-K_R4AaABAg.AWqQxGgPlO9AX5ynI1jkFY,"Mission to Mars
Mission to moon
Missile testing
Satellite lunching 
Military Exercise 
New iCBM testing 
New aircraft testing
New airoplane lunching 
New fighter plane testing 
New bike, car lunching
New road project etc etc etc

All of above have Zero pollution and human is getting more facility, more technology.",@jenatk,0,2 bulan lalu,True,"Mission to Mars Mission to moon Missile testing Satellite lunching Military Exercise New iCBM testing New aircraft testing New airoplane lunching New fighter plane testing New bike, car lunching New road project etc etc etc All of above have Zero pollution and human is getting more facility, more technology.",0,49,309,Reply,Positive
Ugy1UF-xl8nO0c6-K_R4AaABAg.AWqQxGgPlO9AX6JrANyUNt,"올해는 석유 공급이 줄어서 이산화탄소 배출이 많이 감소했죠.
원래 이산화탄소가 성층권에서 복사 에너지를 방출하기 때문에,
늘어난 식물들이 이산화탄소를 상당 부분 먹어치운 4~5월부터 급격히 온도가 올라가게 됩니다.
아래 논문을 보면,
""12 years of continuous atmospheric O2, CO2 and APO data from Weybourne Atmospheric Observatory in the United Kingdom"" 
1년 중 월별 이산화탄소 및 산소의 변화 추이를 나타낸 그래프가 있는데요.
겨울철에 이산화탄소 농도가 높았다가,
여름철에 급격히 낮아지고 대신 산소가 늘어납니다.
보통의 생각과 달리 여름철에 오히려 이산화탄소 농도가 크게 낮죠.
겨울 대비 약 16ppm정도 낮습니다.
근래 몇 ppm이 증가해서 온난화가 가중된다고 하던걸 생각해보시면.
16ppm이 얼마나 큰 수치인지 체감하실겁니다.
이산화탄소는 복사 에너지를 방출하는 역할을 하기 때문에,
식물군이 흡수해서 이산화탄소의 양이 줄어든 여름철에 가장 더울수 있는 것입니다.

즉, 이산화탄소가 온난화를 유발한다는 기존 기후 모델은 부실하다 할수 있습니다.
이산화탄소가 적외선 복사를 포획해서 온난화를 유발한다는 것이 그 논리의 바탕인데요.
적외선 복사가 대류보다 더 효과적인 것은, 온도가 섭씨 300도 이상에서부터 이고,
지구 대기 환경에서는 대류가 압도적입니다.
뜨거운 공기는 대류에 의해 상층으로 이동하고,
그건 최상층의 이산화탄소 적외선 복사에 의해 우주로 방출됩니다.
즉, 대기 하층 중층에서는 복사와 관계없이 대류에 의해 상층으로 열기가 올라가고,
상층에선 이산화탄소가 복사 에너지 방출 창구 역할을 하는 것입니다.

따라서 오히려 이산화탄소의 증가는 오히려 방출 창구의 증가로 이어져 대기를 냉각 시킵니다.
위 논문에서 나오는 여름철 급격한 이산화탄소 밀도의 하락은 그런 의미도 내포하고 있는 것입니다.

최근 5월11일에 국제 학술지 ‘네이쳐 지오사이언스(Nature Geoscience)에 게재된 아래 논문에서 증명한 내용이,
이산화탄소는 대기 상층인 성층권에서 실질적인 냉각 효과를 일으킨다는 것을 수치적으로 입증한 것입니다.
논문 제목은 아래와 같습니다.
""Stratospheric cooling and amplification of radiative forcing with rising carbon dioxide""",@ChiwooKhanTV,0,2 bulan lalu,True,"올해는 석유 공급이 줄어서 이산화탄소 배출이 많이 감소했죠. 원래 이산화탄소가 성층권에서 복사 에너지를 방출하기 때문에, 늘어난 식물들이 이산화탄소를 상당 부분 먹어치운 4~5월부터 급격히 온도가 올라가게 됩니다. 아래 논문을 보면, ""12 years of continuous atmospheric O2, CO2 and APO data from Weybourne Atmospheric Observatory in the United Kingdom"" 1년 중 월별 이산화탄소 및 산소의 변화 추이를 나타낸 그래프가 있는데요. 겨울철에 이산화탄소 농도가 높았다가, 여름철에 급격히 낮아지고 대신 산소가 늘어납니다. 보통의 생각과 달리 여름철에 오히려 이산화탄소 농도가 크게 낮죠. 겨울 대비 약 16ppm정도 낮습니다. 근래 몇 ppm이 증가해서 온난화가 가중된다고 하던걸 생각해보시면. 16ppm이 얼마나 큰 수치인지 체감하실겁니다. 이산화탄소는 복사 에너지를 방출하는 역할을 하기 때문에, 식물군이 흡수해서 이산화탄소의 양이 줄어든 여름철에 가장 더울수 있는 것입니다. 즉, 이산화탄소가 온난화를 유발한다는 기존 기후 모델은 부실하다 할수 있습니다. 이산화탄소가 적외선 복사를 포획해서 온난화를 유발한다는 것이 그 논리의 바탕인데요. 적외선 복사가 대류보다 더 효과적인 것은, 온도가 섭씨 300도 이상에서부터 이고, 지구 대기 환경에서는 대류가 압도적입니다. 뜨거운 공기는 대류에 의해 상층으로 이동하고, 그건 최상층의 이산화탄소 적외선 복사에 의해 우주로 방출됩니다. 즉, 대기 하층 중층에서는 복사와 관계없이 대류에 의해 상층으로 열기가 올라가고, 상층에선 이산화탄소가 복사 에너지 방출 창구 역할을 하는 것입니다. 따라서 오히려 이산화탄소의 증가는 오히려 방출 창구의 증가로 이어져 대기를 냉각 시킵니다. 위 논문에서 나오는 여름철 급격한 이산화탄소 밀도의 하락은 그런 의미도 내포하고 있는 것입니다. 최근 5월11일에 국제 학술지 ‘네이쳐 지오사이언스(Nature Geoscience)에 게재된 아래 논문에서 증명한 내용이, 이산화탄소는 대기 상층인 성층권에서 실질적인 냉각 효과를 일으킨다는 것을 수치적으로 입증한 것입니다. 논문 제목은 아래와 같습니다. ""Stratospheric cooling and amplification of radiative forcing with rising carbon dioxide""",0,246,1189,Reply,Neutral
Ugy1UF-xl8nO0c6-K_R4AaABAg.AWqQxGgPlO9AXAa51FnWL5,K bye,@RealityTVoclock,0,2 bulan lalu,True,K bye,0,2,5,Reply,Neutral
Ugy1UF-xl8nO0c6-K_R4AaABAg.AWqQxGgPlO9AXBGMkbbS7y,You think?😂😂😂😂,@sf49erswarriorsgiantsgumba99,0,2 bulan lalu,True,You think?😂😂😂😂,0,2,14,Reply,Neutral
Ugy1UF-xl8nO0c6-K_R4AaABAg.AWqQxGgPlO9AXDpTa_7QtD,And the biosphere can do a lot better without humans,@jollyjokress3852,0,2 bulan lalu,True,And the biosphere can do a lot better without humans,0,10,52,Reply,Positive
Ugy1UF-xl8nO0c6-K_R4AaABAg.AWqQxGgPlO9AXEYPXDnFpX,We are ants on her🌎,@p.westbrook220,0,2 bulan lalu,True,We are ants on her🌎,0,5,19,Reply,Neutral
Ugy1UF-xl8nO0c6-K_R4AaABAg.AWqQxGgPlO9AXIucibDdP2,Hopefully without Humans!!!!,@bottlefed517,0,2 bulan lalu,True,Hopefully without Humans!!!!,0,3,28,Reply,Neutral
Ugy1UF-xl8nO0c6-K_R4AaABAg.AWqQxGgPlO9AXKm9lhZVe3,"It takes 60 years to decommission a nuclear power plant 437+ plants worldwide. Without humans around to maintain them, there would be enormous habitat loss and severe contamination. It is eery to think the next life forms of earth could be irradiated mutations with unknown side effects. Certainly life and as we know it today would cease to exist. It would be microbes, fungi and bacterium lol. Perhaps sending us back billions of years, with a largely uninhabitable landscape. 🤔",@HypnotizeMinds69,0,2 bulan lalu (diedit),True,"It takes 60 years to decommission a nuclear power plant 437+ plants worldwide. Without humans around to maintain them, there would be enormous habitat loss and severe contamination. It is eery to think the next life forms of earth could be irradiated mutations with unknown side effects. Certainly life and as we know it today would cease to exist. It would be microbes, fungi and bacterium lol. Perhaps sending us back billions of years, with a largely uninhabitable landscape. 🤔",0,80,480,Reply,Positive
Ugy1UF-xl8nO0c6-K_R4AaABAg.AWqQxGgPlO9AXKnHWEAepk,"​ @HypnotizeMinds69 

Those effects would be largely localised, the vast majority of the planet's land mass would remain largely unaffected.


Coal Power Plant ash pits ought to be more concerning. One large enough flood or amy other damage to the containment could lead to full ground water contamination on the scale of tens of thousands of years.

These ash pits far out number any other potential cause of ecological disaster.",@mayorofhelltown4400,0,2 bulan lalu,True,"​ @HypnotizeMinds69 Those effects would be largely localised, the vast majority of the planet's land mass would remain largely unaffected. Coal Power Plant ash pits ought to be more concerning. One large enough flood or amy other damage to the containment could lead to full ground water contamination on the scale of tens of thousands of years. These ash pits far out number any other potential cause of ecological disaster.",0,70,425,Reply,Positive
Ugy1UF-xl8nO0c6-K_R4AaABAg.AWqQxGgPlO9AXUAzV5Tzpx,"you mean like dinosaurs?
as much as humans cause problems, they also protect nature, they plant trees, feed animals, protect rare species ..etc",@SethiozProject,0,2 bulan lalu,True,"you mean like dinosaurs? as much as humans cause problems, they also protect nature, they plant trees, feed animals, protect rare species ..etc",0,23,143,Reply,Positive
Ugy1UF-xl8nO0c6-K_R4AaABAg.AWqQxGgPlO9AY-MVFKZ62b,The human species is so smart that is heading up to its own extinction.,@aubreyharper4829,0,1 bulan lalu,True,The human species is so smart that is heading up to its own extinction.,0,14,71,Reply,Positive
Ugy1UF-xl8nO0c6-K_R4AaABAg.AWqQxGgPlO9AYffT0K-wnG,"""Believe none of what you hear and half of what you see"" Benjamin Franklin. Leftist thinking is destroying our society. The earth is going through an expansion stage as it does every 80 to 120 years no biggie, but people will try to tell you differently and make a profit.",@BondiRemember,0,1 bulan lalu,True,"""Believe none of what you hear and half of what you see"" Benjamin Franklin. Leftist thinking is destroying our society. The earth is going through an expansion stage as it does every 80 to 120 years no biggie, but people will try to tell you differently and make a profit.",0,50,272,Reply,Negative
Ugy1UF-xl8nO0c6-K_R4AaABAg.AWqQxGgPlO9AYmk9IFVHpe,"Am I a pshchopath for saying i genuinely hope humans die in the next like 100 years, I hate how they destroy the world it’s horrible",@2manswhen,0,1 bulan lalu,True,"Am I a pshchopath for saying i genuinely hope humans die in the next like 100 years, I hate how they destroy the world it’s horrible",0,26,132,Reply,Negative
Ugy1UF-xl8nO0c6-K_R4AaABAg.AWqQxGgPlO9AWso2KAtJt0,"well without humans, she might live longer healthier and abundant for rest of the species!!",@mpkartik999,9,2 bulan lalu,True,"well without humans, she might live longer healthier and abundant for rest of the species!!",9,15,91,Reply,Positive
Ugy1UF-xl8nO0c6-K_R4AaABAg.AWqQxGgPlO9AWtHRbcyND1," @mpkartik999  go ahead and help “Mother Earth” out then. You start, the world will be better. Lol",@Nate12-,4,2 bulan lalu,True,"@mpkartik999 go ahead and help “Mother Earth” out then. You start, the world will be better. Lol",4,17,96,Reply,Positive
Ugy1UF-xl8nO0c6-K_R4AaABAg.AWqQxGgPlO9AWsrEfTymnQ," @mpkartik999  you first,",@bo-zd2fj,2,2 bulan lalu,True,"@mpkartik999 you first,",2,3,23,Reply,Positive
Ugy1UF-xl8nO0c6-K_R4AaABAg.AWqQxGgPlO9AWsH7kUw1vw,the double slit experiment may suggest that there is no mother earth without humans observing it lol..,@Jah_Babylon,8,2 bulan lalu,True,the double slit experiment may suggest that there is no mother earth without humans observing it lol..,8,17,102,Reply,Positive
Ugy1UF-xl8nO0c6-K_R4AaABAg.AWqQxGgPlO9AWsU4QGiI94," @Jah_Babylon  Thats a wildly wrong misinterpretation of the double slit experiment. The 'observer' there is not a human or even anything alive. Observation there is physical interaction (like a sensor), not anything that requires consciousness",@nuhuhuhuh-f8h,13,2 bulan lalu (diedit),True,"@Jah_Babylon Thats a wildly wrong misinterpretation of the double slit experiment. The 'observer' there is not a human or even anything alive. Observation there is physical interaction (like a sensor), not anything that requires consciousness",13,35,242,Reply,Negative
Ugy1UF-xl8nO0c6-K_R4AaABAg.AWqQxGgPlO9AWrU97G_L1G,Mother Earth is her ability to nurture life. If not a piece of rock from sun cooling in time.,@pravsportify,7,2 bulan lalu,True,Mother Earth is her ability to nurture life. If not a piece of rock from sun cooling in time.,7,19,93,Reply,Neutral
Ugy1UF-xl8nO0c6-K_R4AaABAg.AWqQxGgPlO9AWvPy-cJgDb,​ @pravsportify 🤪😜,@UtubeRwokeLefties,1,2 bulan lalu,True,​ @pravsportify 🤪😜,1,3,18,Reply,Neutral
Ugy1UF-xl8nO0c6-K_R4AaABAg.AWqQxGgPlO9AWsFc_pRIUx,stop anthropomorphising inanimate objects,@nuhuhuhuh-f8h,7,2 bulan lalu,True,stop anthropomorphising inanimate objects,7,4,41,Reply,Neutral
Ugy1UF-xl8nO0c6-K_R4AaABAg.AWqQxGgPlO9AWuzaAhu8fd, @nuhuhuhuh-f8h  Is anthropomorphising a new word you learned that you wanted try out?,@MakeUkraineRussiaAgain,6,2 bulan lalu,True,@nuhuhuhuh-f8h Is anthropomorphising a new word you learned that you wanted try out?,6,13,84,Reply,Positive
Ugy1UF-xl8nO0c6-K_R4AaABAg.AWqQxGgPlO9AWuokKVjLfN, @nuhuhuhuh-f8h  No.,@user-yd6tm5ne2e,0,2 bulan lalu,True,@nuhuhuhuh-f8h No.,0,2,18,Reply,Neutral
Ugy1UF-xl8nO0c6-K_R4AaABAg.AWqQxGgPlO9AWv7WivdhA1, @nuhuhuhuh-f8h  that was funny! thanx.,@sebastianblue8688,0,2 bulan lalu,True,@nuhuhuhuh-f8h that was funny! thanx.,0,5,37,Reply,Positive
Ugy1UF-xl8nO0c6-K_R4AaABAg.AWqQxGgPlO9AWs1GOo_TQC,"100%, we are just cancer, even if all human disappear we already leave behind the nuclear waste and abandoned the nuclear power plant which cause more damage to the environment and animal in the future 😂. and dont forget all those trash floating away in the ocean",@odiagam5755,6,2 bulan lalu,True,"100%, we are just cancer, even if all human disappear we already leave behind the nuclear waste and abandoned the nuclear power plant which cause more damage to the environment and animal in the future 😂. and dont forget all those trash floating away in the ocean",6,47,263,Reply,Neutral
